dataset,version,representation,encoder_mode,freeze_autoencoder,freeze_esm2,autoencoder_version,head_type,seed,phase,learning_rate,weight_decay,dropout,autoencoder_embedding_dropout,esm_embedding_dropout,status,run_dir,checkpoint_dir,error,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection,encoder_lr_partition,phase_partition
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,linear,42,end_to_end_tuning,0.0001,0.0,,0.2,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_ae_do_0.2_esm_do_0_seed_42,,3.0,0.6792511700468019,0.5301760513581243,0.703831748775569,encoder_lr_1e-5,unfrozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,,15.0,0.6791814645695924,0.5393034053600958,0.7267358110054739,encoder_lr_1e-4,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,,15.0,0.6791814645695924,0.5393034053600958,0.7267358110054739,encoder_lr_1e-5,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,,15.0,0.6786379806877859,0.5354122722038993,0.7267358110054739,encoder_lr_1e-4,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,,15.0,0.6786379806877859,0.5354122722038993,0.7267358110054739,encoder_lr_1e-5,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,,15.0,0.6779135823721811,0.5273827267239191,0.7304811293575338,encoder_lr_1e-4,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,,15.0,0.6779135823721811,0.5273827267239191,0.7304811293575338,encoder_lr_1e-5,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,,15.0,0.6778398510242085,0.539605308621392,0.7258715067703831,encoder_lr_1e-6,frozen
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_ae_do_0_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_ae_do_0_esm_do_0_seed_42,,3.0,0.6775588659298414,0.5328213881944861,0.7100259291270528,encoder_lr_1e-6,unfrozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,,15.0,0.6774471013246173,0.525514049837068,0.72990492653414,encoder_lr_1e-6,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,,15.0,0.6772413793103448,0.5256702555115441,0.7303370786516854,encoder_lr_1e-4,frozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,,15.0,0.6772413793103448,0.5256702555115441,0.7303370786516854,encoder_lr_1e-5,frozen
solubility,v5,random_autoencoder,from_scratch,False,True,,mlp,42,end_to_end_tuning,0.0001,0.0001,0.1,0.2,0.0,complete,Code/results/classifier/solubility/v5/encoder_lr_1e-4/unfrozen/tuning/mlp/random_autoencoder/lr_1e-4_wd_1e-4_do_0.1_rep_lr_1e-4_ae_do_0.2_esm_do_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/mlp/random_autoencoder/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.2_esm_do_0_seed_42,,8.0,0.6771361026680176,0.5328731325647392,0.7245750504177471,encoder_lr_1e-4,unfrozen
solubility,v5,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end_tuning,0.0001,0.0001,,0.2,0.0,complete,Code/results/classifier/solubility/v5/encoder_lr_1e-4/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_rep_lr_1e-4_ae_do_0.2_esm_do_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_ae_do_0.2_esm_do_0_seed_42,,8.0,0.6770815450643777,0.5086602563474749,0.7290406222990493,encoder_lr_1e-4,unfrozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,,16.0,0.6770815450643777,0.5342749644170677,0.7290406222990493,encoder_lr_1e-6,frozen
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,mlp,42,end_to_end_tuning,0.0001,0.0001,0.1,0.1,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.1_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.1_esm_do_0_seed_42,,3.0,0.6762288477034649,0.5334821030544774,0.7106021319504465,encoder_lr_1e-6,unfrozen
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,linear,42,end_to_end_tuning,0.0001,0.0,,0.1,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_ae_do_0.1_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_ae_do_0.1_esm_do_0_seed_42,,3.0,0.6754067287948191,0.5290064613367838,0.7039757994814174,encoder_lr_1e-5,unfrozen
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,,15.0,0.6744666207845836,0.527646828886069,0.7274560645347162,encoder_lr_1e-6,frozen
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.1,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_ae_do_0.1_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_ae_do_0.1_esm_do_0_seed_42,,3.0,0.6735026041666666,0.532629914944538,0.711034284067992,encoder_lr_1e-6,unfrozen
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,mlp,42,end_to_end_tuning,0.0001,0.0001,0.1,0.2,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.2_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_ae_do_0.2_esm_do_0_seed_42,,3.0,0.6730800586988424,0.5344294178077172,0.7111783347738404,encoder_lr_1e-6,unfrozen
solubility,v5,trained_autoencoder,fine_tuned,False,True,v5,mlp,42,end_to_end_tuning,0.0001,0.0,0.1,0.2,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_ae_do_0.2_esm_do_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_ae_do_0.2_esm_do_0_seed_42,,10.0,0.6706543411274243,0.5076125321608735,0.7382598674733506,encoder_lr_1e-6,unfrozen
solubility,v5,trained_autoencoder+esm2,frozen,True,True,v5,linear,42,tuning,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/linear/trained_autoencoder+esm2/lr_1e-4_wd_0_seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/linear/trained_autoencoder+esm2/lr_1e-4_wd_0_seed_42,,20.0,0.6677852348993288,0.5432286848083624,0.7147796024200519,encoder_lr_1e-4,frozen
