dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection
solubility,v1,trained_autoencoder,linear,42,tuning,0.001,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-3_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-3_wd_0_seed_42,,25.0,0.6281747375550288,0.5744987910812508,0.6836646499567848
solubility,v1,trained_autoencoder,linear,42,tuning,0.001,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-3_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-3_wd_1e-4_seed_42,,15.0,0.6235597592433362,0.5774354660967796,0.684673004897724
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0001,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,,15.0,0.6791814645695924,0.5393034053600958,0.7267358110054739
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0001,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,,15.0,0.6779135823721811,0.5273827267239191,0.7304811293575338
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0001,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,,15.0,0.6786379806877859,0.5354122722038993,0.7267358110054739
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0001,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,,15.0,0.6772413793103448,0.5256702555115441,0.7303370786516854
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0003,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_0_do_0.1_seed_42,,4.0,0.6681898066783831,0.525454459076002,0.7280322673581101
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_0_do_0.3_seed_42,,4.0,0.6700489853044087,0.521625180154807,0.728320368769807
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0003,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_1e-4_do_0.1_seed_42,,4.0,0.6673665791776028,0.5231857265717905,0.7261596081820801
solubility,v1,trained_autoencoder,mlp,42,tuning,0.0003,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_3e-4_wd_1e-4_do_0.3_seed_42,,4.0,0.6712184873949579,0.5203828075388192,0.7294727744165946
solubility,v1,trained_autoencoder,mlp,42,tuning,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_0_do_0.1_seed_42,,4.0,0.6660917557778544,0.5348382416186365,0.721117833477384
solubility,v1,trained_autoencoder,mlp,42,tuning,0.001,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_0_do_0.3_seed_42,,4.0,0.671763683753258,0.5185335977161284,0.7278882166522616
solubility,v1,trained_autoencoder,mlp,42,tuning,0.001,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_1e-4_do_0.1_seed_42,,4.0,0.6629468177855274,0.5223147802653761,0.7215499855949294
solubility,v1,trained_autoencoder,mlp,42,tuning,0.001,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/trained_autoencoder/lr_1e-3_wd_1e-4_do_0.3_seed_42,,5.0,0.661549446626205,0.5223456914900222,0.7268798617113224
solubility,v1,trained_autoencoder+esm2,linear,42,tuning,0.0001,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder+esm2/lr_1e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder+esm2/lr_1e-4_wd_0_seed_42,,20.0,0.6677852348993288,0.5432286848083624,0.7147796024200519
solubility,v1,trained_autoencoder+esm2,linear,42,tuning,0.0001,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder+esm2/lr_1e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder+esm2/lr_1e-4_wd_1e-4_seed_42,,20.0,0.6675607711651299,0.5432831379014798,0.7143474503025065
solubility,v1,trained_autoencoder+esm2,linear,42,tuning,0.0003,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder+esm2/lr_3e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder+esm2/lr_3e-4_wd_0_seed_42,,20.0,0.6768184027215293,0.5472869129491381,0.7126188418323249
